name_,category_,team_,birthdate_
 伊藤 翔,J1,横浜FM,1988/07/24
 ウーゴ ヴィエイラ,J1,横浜FM,1988/07/25
 荒堀 謙次,J2,讃岐,1988/07/31
 三原 雅俊,J1,神戸,1988/08/02
 枝本 雄一郎,J3,琉球,1988/08/06
 森村 昂太,J2,町田,1988/08/14
 西岡 大輝,J2,愛媛,1988/08/21
 ランゲラック,J1,名古屋,1988/08/22
 藤澤 典隆,J3,鹿児島,1988/08/23
 長沢 駿,J1,G大阪,1988/08/25
 エスクデロ 競飛王,J2,京都,1988/09/01
 金園 英学,J2,甲府,1988/09/01
 松原 優吉,J3,長野,1988/09/05
 酒井 隆介,J2,町田,1988/09/07
 岡田 亮太,J3,福島,1988/09/09
 森谷 賢太郎,J1,川崎F,1988/09/21
 久木田 紳吾,J3,群馬,1988/09/24
 久保 裕一,J3,相模原,1988/09/26
 野田 隆之介,J1,湘南,1988/09/28
 下平 匠,J2,千葉,1988/10/06
 村田 和哉,J1,清水,1988/10/07
 小林 裕紀,J1,名古屋,1988/10/18
 金 聖基,J3,藤枝,1988/10/23
 エドゥアルド ネット,J1,名古屋,1988/10/24
 川西 翔太,J2,大分,1988/10/28
 長谷川 アーリアジャスール,J1,名古屋,1988/10/29
 新井 章太,J1,川崎F,1988/11/01
 武藤 雄樹,J1,浦和,1988/11/07
 笠原 昂史,J2,大宮,1988/11/21
 齊藤 和樹,J2,岡山,1988/11/21
 清水 圭介,J2,京都,1988/11/25
 倉田 秋,J1,G大阪,1988/11/26
 屋宮 大地,J3,琉球,1988/11/27
 藤春 廣輝,J1,G大阪,1988/11/28
 松浦 拓弥,J1,磐田,1988/12/21
 谷口 堅三,J3,藤枝,1988/12/22
 土井 康平,J3,盛岡,1988/12/24
 ドゥシャン,J1,横浜FM,1988/12/24
 山田 大記,J1,磐田,1988/12/27
 ヨルディ バイス,J1,長崎,1988/12/28
 ムサエフ,J1,磐田,1989/01/02
 カルバハル,J2,徳島,1989/01/08
 杉浦 恭平,J2,金沢,1989/01/11
 佐藤 謙介,J2,横浜FC,1989/01/19
 實藤 友紀,J2,福岡,1989/01/19
 島屋 八徳,J2,徳島,1989/01/20
 パウリーニョ,J2,松本,1989/01/26
 松本 拓也,J3,秋田,1989/02/06
 高橋 駿太,J3,群馬,1989/02/09
 金崎 夢生,J1,鳥栖,1989/02/16
 ファビオ,J1,G大阪,1989/02/28
 有永 一生,J3,長野,1989/03/03
 権田 修一,J1,鳥栖,1989/03/03
 永井 謙佑,J1,FC東京,1989/03/05
 山崎 亮平,J1,柏,1989/03/14
 遠藤 敬佑,J3,富山,1989/03/20
 當間 建文,J2,松本,1989/03/21
 代 健司,J3,富山,1989/03/27
 畑 実,J2,熊本,1989/03/30
 三村 真,J2,岡山,1989/03/30
 ホーシャ,J1,名古屋,1989/04/01
 加藤 弘堅,J3,北九州,1989/04/03
 浅田 大樹,J3,藤枝,1989/04/05
 大谷 幸輝,J2,新潟,1989/04/08
 梶川 諒太,J2,東京V,1989/04/17
 渡部 大輔,J2,大宮,1989/04/19
 ビクトル,J2,岐阜,1989/04/21
 鈴木 惇,J2,福岡,1989/04/22
 井上 翔太,J3,北九州,1989/04/24
 岡田 翔平,J3,群馬,1989/04/29
 清水 航平,J2,甲府,1989/04/30
 永畑 祐樹,J3,鹿児島,1989/05/02
 大竹 洋平,J2,岡山,1989/05/02
 堀田 秀平,J3,秋田,1989/05/12
 高木 駿,J2,大分,1989/05/22
 大槻 周平,J1,神戸,1989/05/26
 丸谷 拓也,J2,大分,1989/05/30
 井上 裕大,J2,町田,1989/05/30
 ヘイス,J1,札幌,1989/06/06
 加藤 恒平,J1,鳥栖,1989/06/14
 丸山 祐市,J1,名古屋,1989/06/16
 ロドリゲス,J2,千葉,1989/06/25
 田中 奏一,J3,鹿児島,1989/06/27
 ファン ソッコ,J1,清水,1989/06/27
 宮澤 裕樹,J1,札幌,1989/06/28
 増田 卓也,J1,長崎,1989/06/29
 高橋 拓也,J3,北九州,1989/06/30
 阿部 浩之,J1,川崎F,1989/07/05
 椋原 健太,J2,岡山,1989/07/06
 宮阪 政樹,J2,大分,1989/07/15
 林 容平,J2,大分,1989/07/16
 中村 太亮,J2,大宮,1989/07/19
 若狭 大志,J2,東京V,1989/07/24
 鈴木 孝司,J2,町田,1989/07/25
 西山 峻太,J3,YS横浜,1989/07/25
 岩上 祐三,J2,松本,1989/07/28
 黒木 恭平,J3,京都,1989/07/31
 黒木 晃平,J2,熊本,1989/07/31
 大野 和成,J1,湘南,1989/08/04
 河井 陽介,J1,清水,1989/08/04
 ハモン ロペス,J1,柏,1989/08/07
 櫻内 渚,J1,磐田,1989/08/11
 奥埜 博亮,J1,仙台,1989/08/14
 大岩 一貴,J1,仙台,1989/08/17
 藤本 憲明,J2,大分,1989/08/19
 フレイレ,J1,清水,1989/08/21
 ヘニキ,J2,栃木,1989/09/08
 村上 巧,J2,熊本,1989/09/12
 小手川 宏基,J2,大分,1989/09/12
 浦田 延尚,J2,松本,1989/09/13
 庄司 悦大,J2,京都,1989/09/14
 青木 拓矢,J1,浦和,1989/09/16
 オリヴィエ ブマル,J1,横浜FM,1989/09/17
 大久保 択生,J3,FC東京,1989/09/18
 大久保 択生,J1,FC東京,1989/09/18
 押谷 祐樹,J1,徳島,1989/09/23
 大石 治寿,J2,山口,1989/09/25
